citizen_id,scheme_id,scheme_name,age,gender,state,caste_category,occupation,annual_income,is_rural,is_bpl,is_govt_employee,is_income_tax_payer,is_urban_resident,has_aadhaar,has_pan_card,has_bank_account,has_aadhaar_linked_bank,has_land_records,has_land_proof,has_bpl_card,has_secc_registration,has_mobile,has_photo,has_business_proof,has_bank_statements,eligible,readiness_score,missing_docs_count,missing_conditions_count,missing_docs,missing_conditions
CIT00021,MUDRA-005,PM-MUDRA,64,female,Uttar Pradesh,General,unemployed,43316,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,60.0,3,1,pan_card|business_proof|bank_statements,occupation_mismatch
CIT00022,PMJDY-002,PMJDY,80,male,Gujarat,General,farmer,182701,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,83.3,1,0,mobile,none
CIT00023,PMAY-003,PMAY-G,62,other,Haryana,General,self_employed,667080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.0,5,2,aadhaar|bpl_card|bank_account|land_proof|secc_registration,income_too_high|bpl_required
CIT00024,PMJDY-002,PMJDY,23,female,Tamil Nadu,General,daily_wage_worker,95055,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,100.0,0,0,none,none
CIT00025,PMAY-003,PMAY-G,52,female,Tamil Nadu,General,farmer,134455,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,50.0,3,2,bpl_card|land_proof|secc_registration,excluded_urban_resident|bpl_required
CIT00026,MUDRA-005,PM-MUDRA,14,male,Assam,OBC,small_business,358361,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,80.0,1,1,business_proof,age_not_in_range_18_65
CIT00027,PMSBY-004,PMSBY,52,other,West Bengal,OBC,entrepreneur,153372,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,100.0,0,0,none,none
CIT00028,PMJDY-002,PMJDY,61,other,Tamil Nadu,General,small_business,395568,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,100.0,0,0,none,none
CIT00029,MUDRA-005,PM-MUDRA,52,male,Tamil Nadu,ST,self_employed,776101,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,90.0,1,0,business_proof,none
CIT00030,PMSBY-004,PMSBY,73,female,Madhya Pradesh,General,entrepreneur,482630,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,73.3,1,1,aadhaar_linked_bank,age_not_in_range_18_70
CIT00031,PMSBY-004,PMSBY,69,other,Jharkhand,ST,farmer,61813,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,83.3,1,0,aadhaar_linked_bank,none
CIT00032,PMJDY-002,PMJDY,45,other,Odisha,OBC,unemployed,94812,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,100.0,0,0,none,none
CIT00033,PMSBY-004,PMSBY,69,female,Uttar Pradesh,General,entrepreneur,507398,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,100.0,0,0,none,none
CIT00034,PMJDY-002,PMJDY,38,female,Madhya Pradesh,General,daily_wage_worker,173165,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,100.0,0,0,none,none
CIT00035,PMSBY-004,PMSBY,13,male,Punjab,OBC,homemaker,356580,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,90.0,0,1,none,age_not_in_range_18_70
CIT00036,PMJDY-002,PMJDY,79,male,West Bengal,General,government_employee,793152,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,90.0,0,1,none,income_too_high
CIT00037,MUDRA-005,PM-MUDRA,37,female,Haryana,General,small_business,199946,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,80.0,2,0,pan_card|bank_statements,none
CIT00038,MUDRA-005,PM-MUDRA,58,female,Haryana,General,farmer,180941,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,60.0,3,1,pan_card|business_proof|bank_statements,occupation_mismatch
CIT00039,MUDRA-005,PM-MUDRA,57,male,Jharkhand,OBC,farmer,142296,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,70.0,2,1,pan_card|business_proof,occupation_mismatch
CIT00040,PMSBY-004,PMSBY,69,female,Tamil Nadu,SC,government_employee,864315,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,100.0,0,0,none,none
CIT00041,PMSBY-004,PMSBY,72,male,West Bengal,SC,private_employee,596144,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,73.3,1,1,mobile,age_not_in_range_18_70
CIT00042,MUDRA-005,PM-MUDRA,72,female,Karnataka,General,student,45259,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,50.0,3,2,pan_card|business_proof|bank_statements,age_not_in_range_18_65|occupation_mismatch
CIT00043,MUDRA-005,PM-MUDRA,44,female,Maharashtra,General,private_employee,387893,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,80.0,1,1,business_proof,occupation_mismatch
CIT00044,PMSBY-004,PMSBY,47,male,West Bengal,General,student,6588,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,83.3,1,0,aadhaar_linked_bank,none
CIT00045,PMJDY-002,PMJDY,71,female,West Bengal,General,self_employed,681949,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,90.0,0,1,none,income_too_high
CIT00046,PMSBY-004,PMSBY,41,male,Jharkhand,SC,homemaker,194659,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,100.0,0,0,none,none
CIT00047,PMJDY-002,PMJDY,22,male,Punjab,General,government_employee,363156,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,100.0,0,0,none,none
CIT00048,PMAY-003,PMAY-G,19,other,Madhya Pradesh,ST,government_employee,1037135,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00049,MUDRA-005,PM-MUDRA,49,other,Haryana,SC,small_business,253982,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,80.0,2,0,aadhaar|pan_card,none
CIT00050,PMJDY-002,PMJDY,13,male,Madhya Pradesh,ST,farmer,114494,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,100.0,0,0,none,none
CIT00051,PMSBY-004,PMSBY,45,male,Assam,OBC,unemployed,145927,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,100.0,0,0,none,none
CIT00052,PMSBY-004,PMSBY,80,male,Odisha,General,government_employee,719904,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,73.3,1,1,aadhaar_linked_bank,age_not_in_range_18_70
CIT00053,MUDRA-005,PM-MUDRA,56,other,Karnataka,OBC,daily_wage_worker,165905,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,80.0,1,1,business_proof,occupation_mismatch
CIT00054,PMAY-003,PMAY-G,80,male,Jharkhand,OBC,entrepreneur,405845,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00055,PMSBY-004,PMSBY,41,female,Jharkhand,General,daily_wage_worker,153789,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,83.3,1,0,aadhaar_linked_bank,none
CIT00056,MUDRA-005,PM-MUDRA,44,male,Maharashtra,SC,private_employee,416200,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,70.0,2,1,pan_card|business_proof,occupation_mismatch
CIT00057,PMJDY-002,PMJDY,40,other,Gujarat,General,daily_wage_worker,114352,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,100.0,0,0,none,none
CIT00058,PMAY-003,PMAY-G,52,male,Tamil Nadu,SC,unemployed,63094,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,60.0,3,1,bpl_card|land_proof|secc_registration,excluded_urban_resident
CIT00059,PMAY-003,PMAY-G,20,female,Tamil Nadu,OBC,private_employee,358395,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,60.0,2,2,bpl_card|secc_registration,income_too_high|bpl_required
CIT00060,PMJDY-002,PMJDY,22,female,Rajasthan,OBC,entrepreneur,535052,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,90.0,0,1,none,income_too_high
CIT00061,PMAY-003,PMAY-G,40,female,Telangana,OBC,small_business,719098,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,50.0,3,2,bpl_card|land_proof|secc_registration,income_too_high|bpl_required
CIT00062,PM-KISAN-001,PM-KISAN,42,female,Tamil Nadu,OBC,homemaker,372460,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,55.0,2,2,aadhaar|land_records,income_too_high|occupation_mismatch
CIT00063,MUDRA-005,PM-MUDRA,16,other,Haryana,OBC,daily_wage_worker,178354,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,60.0,2,2,business_proof|bank_statements,age_not_in_range_18_65|occupation_mismatch
CIT00064,PMSBY-004,PMSBY,27,other,Bihar,ST,government_employee,1055948,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,90.0,0,1,none,income_too_high
CIT00065,PMJDY-002,PMJDY,56,other,Jharkhand,ST,small_business,645610,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,90.0,0,1,none,income_too_high
CIT00066,PMJDY-002,PMJDY,56,male,Karnataka,OBC,entrepreneur,787166,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,90.0,0,1,none,income_too_high
CIT00067,PM-KISAN-001,PM-KISAN,51,other,Madhya Pradesh,OBC,unemployed,177169,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,65.0,2,1,land_records|bank_account,occupation_mismatch
CIT00068,MUDRA-005,PM-MUDRA,22,male,Telangana,OBC,government_employee,421761,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,60.0,2,2,business_proof|bank_statements,occupation_mismatch|excluded_govt_employee
CIT00069,PMAY-003,PMAY-G,72,other,Gujarat,ST,small_business,766735,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00070,MUDRA-005,PM-MUDRA,68,male,Punjab,General,farmer,79757,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,60.0,2,2,pan_card|business_proof,age_not_in_range_18_65|occupation_mismatch
CIT00071,PM-KISAN-001,PM-KISAN,52,male,Karnataka,ST,entrepreneur,324316,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,67.5,1,2,land_records,income_too_high|occupation_mismatch
CIT00072,PMSBY-004,PMSBY,51,male,Rajasthan,General,private_employee,274744,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,100.0,0,0,none,none
CIT00073,PMAY-003,PMAY-G,76,female,Odisha,OBC,student,40311,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,80.0,2,0,bank_account|secc_registration,none
CIT00074,MUDRA-005,PM-MUDRA,45,other,Punjab,OBC,homemaker,216160,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,80.0,1,1,business_proof,occupation_mismatch
CIT00075,PM-KISAN-001,PM-KISAN,62,female,Tamil Nadu,OBC,entrepreneur,319592,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,67.5,1,2,land_records,income_too_high|occupation_mismatch
CIT00076,PMAY-003,PMAY-G,26,other,Uttar Pradesh,OBC,daily_wage_worker,127687,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,60.0,3,1,bpl_card|land_proof|secc_registration,bpl_required
CIT00077,PMSBY-004,PMSBY,74,male,Rajasthan,OBC,homemaker,204316,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,73.3,1,1,aadhaar_linked_bank,age_not_in_range_18_70
CIT00078,PMSBY-004,PMSBY,13,other,Telangana,OBC,student,40745,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,73.3,1,1,aadhaar_linked_bank,age_not_in_range_18_70
CIT00079,MUDRA-005,PM-MUDRA,21,other,Jharkhand,General,self_employed,743928,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,100.0,0,0,none,none
CIT00080,PMSBY-004,PMSBY,64,female,Assam,OBC,farmer,101330,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,100.0,0,0,none,none
CIT00081,PMAY-003,PMAY-G,48,male,Karnataka,General,homemaker,257176,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,60.0,2,2,bpl_card|secc_registration,income_too_high|bpl_required
CIT00082,PMAY-003,PMAY-G,65,male,Odisha,ST,self_employed,124357,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,50.0,4,1,bpl_card|bank_account|land_proof|secc_registration,bpl_required
CIT00083,MUDRA-005,PM-MUDRA,56,male,Gujarat,SC,small_business,728151,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,100.0,0,0,none,none
CIT00084,PMSBY-004,PMSBY,54,female,Haryana,ST,self_employed,283322,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,100.0,0,0,none,none
CIT00085,PMAY-003,PMAY-G,67,other,Telangana,SC,unemployed,181904,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00086,PM-KISAN-001,PM-KISAN,49,female,Odisha,General,government_employee,669038,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,47.5,1,4,land_records,income_too_high|occupation_mismatch|excluded_govt_employee|excluded_income_tax_payer
CIT00087,PMJDY-002,PMJDY,34,female,Assam,OBC,unemployed,179856,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,100.0,0,0,none,none
CIT00088,MUDRA-005,PM-MUDRA,66,other,Jharkhand,OBC,farmer,144755,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,60.0,2,2,pan_card|business_proof,age_not_in_range_18_65|occupation_mismatch
CIT00089,PM-KISAN-001,PM-KISAN,29,female,Bihar,OBC,daily_wage_worker,219722,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,55.0,2,2,land_records|bank_account,income_too_high|occupation_mismatch
CIT00090,PMJDY-002,PMJDY,26,other,Haryana,SC,government_employee,974751,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,90.0,0,1,none,income_too_high
CIT00091,MUDRA-005,PM-MUDRA,34,male,Rajasthan,General,private_employee,404946,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,70.0,2,1,pan_card|business_proof,occupation_mismatch
CIT00092,MUDRA-005,PM-MUDRA,30,male,Tamil Nadu,OBC,small_business,241745,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,70.0,3,0,pan_card|business_proof|bank_statements,none
CIT00093,PMSBY-004,PMSBY,78,male,Maharashtra,ST,government_employee,1121874,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,80.0,0,2,none,age_not_in_range_18_70|income_too_high
CIT00094,MUDRA-005,PM-MUDRA,27,female,Uttar Pradesh,OBC,student,10620,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,70.0,2,1,pan_card|business_proof,occupation_mismatch
CIT00095,PMAY-003,PMAY-G,38,female,Telangana,OBC,small_business,176168,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00096,PM-KISAN-001,PM-KISAN,70,other,Tamil Nadu,General,small_business,380814,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,67.5,1,2,land_records,income_too_high|occupation_mismatch
CIT00097,MUDRA-005,PM-MUDRA,16,male,Gujarat,OBC,government_employee,427767,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,50.0,2,3,business_proof|bank_statements,age_not_in_range_18_65|occupation_mismatch|excluded_govt_employee
CIT00098,MUDRA-005,PM-MUDRA,64,male,Assam,OBC,entrepreneur,385420,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,80.0,2,0,bank_statements|photo,none
CIT00099,PMJDY-002,PMJDY,59,female,Maharashtra,SC,student,30810,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,100.0,0,0,none,none
CIT00100,PMAY-003,PMAY-G,33,male,Bihar,SC,unemployed,155444,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,30.0,4,3,aadhaar|bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00101,PMSBY-004,PMSBY,14,other,Madhya Pradesh,General,student,35588,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,73.3,1,1,aadhaar_linked_bank,age_not_in_range_18_70
CIT00102,PM-KISAN-001,PM-KISAN,73,female,Telangana,SC,private_employee,410153,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,55.0,2,2,land_records|mobile,income_too_high|occupation_mismatch
CIT00103,PM-KISAN-001,PM-KISAN,49,female,Assam,SC,self_employed,390000,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,67.5,1,2,land_records,income_too_high|occupation_mismatch
CIT00104,PMJDY-002,PMJDY,30,male,Rajasthan,SC,self_employed,505942,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,90.0,0,1,none,income_too_high
CIT00105,MUDRA-005,PM-MUDRA,66,male,Assam,General,unemployed,127521,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,70.0,1,2,business_proof,age_not_in_range_18_65|occupation_mismatch
CIT00106,PMAY-003,PMAY-G,67,male,Assam,General,self_employed,352933,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,60.0,2,2,bpl_card|secc_registration,income_too_high|bpl_required
CIT00107,PMJDY-002,PMJDY,79,female,Telangana,General,private_employee,438356,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,100.0,0,0,none,none
CIT00108,PMJDY-002,PMJDY,57,female,Karnataka,ST,entrepreneur,107560,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,100.0,0,0,none,none
CIT00109,PM-KISAN-001,PM-KISAN,69,other,Jharkhand,OBC,private_employee,385916,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,67.5,1,2,land_records,income_too_high|occupation_mismatch
CIT00110,PMJDY-002,PMJDY,38,female,Jharkhand,SC,student,10790,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,100.0,0,0,none,none
CIT00111,MUDRA-005,PM-MUDRA,31,other,Assam,SC,homemaker,230842,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,70.0,2,1,pan_card|business_proof,occupation_mismatch
CIT00112,PM-KISAN-001,PM-KISAN,13,female,Telangana,OBC,government_employee,1104214,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,37.5,1,5,land_records,age_not_in_range_18_99|income_too_high|occupation_mismatch|excluded_govt_employee|excluded_income_tax_payer
CIT00113,PMAY-003,PMAY-G,53,other,Rajasthan,OBC,small_business,587774,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,60.0,2,2,bpl_card|secc_registration,income_too_high|bpl_required
CIT00114,PM-KISAN-001,PM-KISAN,59,other,Gujarat,General,unemployed,55378,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,77.5,1,1,land_records,occupation_mismatch
CIT00115,PMAY-003,PMAY-G,40,male,Assam,OBC,self_employed,609996,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00116,MUDRA-005,PM-MUDRA,15,female,Uttar Pradesh,OBC,private_employee,341856,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,50.0,3,2,pan_card|business_proof|bank_statements,age_not_in_range_18_65|occupation_mismatch
CIT00117,MUDRA-005,PM-MUDRA,60,female,Karnataka,ST,self_employed,181377,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,80.0,2,0,business_proof|bank_statements,none
CIT00118,MUDRA-005,PM-MUDRA,27,female,Telangana,OBC,unemployed,165136,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,60.0,3,1,pan_card|business_proof|bank_statements,occupation_mismatch
CIT00119,PMSBY-004,PMSBY,12,female,West Bengal,OBC,unemployed,108588,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,56.7,2,1,aadhaar_linked_bank|aadhaar,age_not_in_range_18_70
CIT00120,PM-KISAN-001,PM-KISAN,39,other,Uttar Pradesh,OBC,government_employee,1120934,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,57.5,1,3,land_records,income_too_high|occupation_mismatch|excluded_govt_employee
CIT00121,PMJDY-002,PMJDY,63,male,Gujarat,OBC,entrepreneur,408930,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,100.0,0,0,none,none
CIT00122,PMJDY-002,PMJDY,58,female,Rajasthan,OBC,student,43399,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,100.0,0,0,none,none
CIT00123,PMSBY-004,PMSBY,48,female,Haryana,General,government_employee,535790,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,83.3,1,0,aadhaar_linked_bank,none
CIT00124,PMAY-003,PMAY-G,46,other,Bihar,OBC,daily_wage_worker,68397,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,60.0,3,1,bank_account|land_proof|secc_registration,excluded_urban_resident
CIT00125,PMSBY-004,PMSBY,16,other,Telangana,OBC,small_business,695336,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,90.0,0,1,none,age_not_in_range_18_70
CIT00126,PMJDY-002,PMJDY,46,female,Maharashtra,OBC,unemployed,82286,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,83.3,1,0,photo,none
CIT00127,MUDRA-005,PM-MUDRA,14,female,Karnataka,OBC,daily_wage_worker,76081,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,40.0,4,2,aadhaar|pan_card|business_proof|bank_statements,age_not_in_range_18_65|occupation_mismatch
CIT00128,PMJDY-002,PMJDY,46,female,Punjab,OBC,homemaker,325658,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,100.0,0,0,none,none
